Name,Version,Architecture,Description
a11y-profile-manager-indicator,0.1.10-0ubuntu3,amd64,Accessibility Profile Manager - Unity desktop indicator
account-plugin-facebook,0.12+16.04.20160126-0ubuntu1,all,GNOME Control Center account plugin for single signon - facebook
account-plugin-flickr,0.12+16.04.20160126-0ubuntu1,all,GNOME Control Center account plugin for single signon - flickr
account-plugin-google,0.12+16.04.20160126-0ubuntu1,all,GNOME Control Center account plugin for single signon
accountsservice,0.6.40-2ubuntu11.3,amd64,query and manipulate user account information
acl,2.2.52-3,amd64,Access control list utilities
acpi-support,0.142,amd64,scripts for handling many ACPI events
acpid,1:2.0.26-1ubuntu2,amd64,Advanced Configuration and Power Interface event daemon
activity-log-manager,0.9.7-0ubuntu23.16.04.1,amd64,blacklist configuration user interface for Zeitgeist
adduser,3.113+nmu3ubuntu4,all,add and remove users and groups
adium-theme-ubuntu,0.3.4-0ubuntu1.1,all,Adium message style for Ubuntu
adwaita-icon-theme,3.18.0-2ubuntu3.1,all,default icon theme of GNOME (small subset)
aisleriot,1:3.18.2-1ubuntu1,amd64,GNOME solitaire card game collection
alsa-base,1.0.25+dfsg-0ubuntu5,all,ALSA driver configuration files
alsa-utils,1.1.0-0ubuntu5,amd64,Utilities for configuring and using ALSA
anacron,2.3-23,amd64,cron-like program that doesn't go by time
apg,2.2.3.dfsg.1-2ubuntu1,amd64,Automated Password Generator - Standalone version
app-install-data,15.10,all,Ubuntu applications (data files)
app-install-data-partner,16.04,all,Application Installer (data files for partner applications/repositories)
apparmor,2.10.95-0ubuntu2.9,amd64,user-space parser utility for AppArmor
appmenu-qt:amd64,0.2.7+14.04.20140305-0ubuntu2,amd64,application menu for Qt
appmenu-qt5,0.3.0+16.04.20170216-0ubuntu1,amd64,application menu for Qt5
apport,2.20.1-0ubuntu2.17,all,automatically generate crash reports for debugging
apport-gtk,2.20.1-0ubuntu2.17,all,GTK+ frontend for the apport crash report system
apport-symptoms,0.20,all,symptom scripts for apport
appstream,0.9.4-1ubuntu3,amd64,Software component index
apt,1.2.26,amd64,commandline package manager
apt-transport-https,1.2.26,amd64,https download transport for APT
apt-utils,1.2.26,amd64,package management related utility programs
aptdaemon,1.1.1+bzr982-0ubuntu14,all,transaction based package management service
aptdaemon-data,1.1.1+bzr982-0ubuntu14,all,data files for clients
apturl,0.5.2ubuntu11.1,amd64,install packages using the apt protocol - GTK+ frontend
apturl-common,0.5.2ubuntu11.1,amd64,install packages using the apt protocol - common data
aspell,0.60.7~20110707-3build1,amd64,GNU Aspell spell-checker
aspell-en,7.1-0-1.1,all,English dictionary for GNU Aspell
at-spi2-core,2.18.3-4ubuntu1,amd64,Assistive Technology Service Provider Interface (dbus core)
avahi-autoipd,0.6.32~rc+dfsg-1ubuntu2.2,amd64,Avahi IPv4LL network address configuration daemon
avahi-daemon,0.6.32~rc+dfsg-1ubuntu2.2,amd64,Avahi mDNS/DNS-SD daemon
avahi-utils,0.6.32~rc+dfsg-1ubuntu2.2,amd64,"Avahi browsing, publishing and discovery utilities"
bamfdaemon,0.5.3~bzr0+16.04.20180209-0ubuntu1,amd64,Window matching library - daemon
